,instances,timeElapse
0,1,0.04
1,2,0.125
2,3,0.203
3,4,1.677
4,5,4.291
5,6,3.846
6,7,8.485
7,8,6.198
8,9,12.482
9,10,300.023
10,11,300.025
11,12,300.038
12,13,300.024
13,14,300.04
14,15,300.061
15,16,300.035
16,17,300.045
17,18,300.067
18,19,300.06
19,20,300.061
20,21,300.059
21,22,300.075
22,23,300.072
23,24,300.067
24,25,300.065
25,26,300.072
26,27,300.071
27,28,300.095
28,29,300.091
29,30,300.079
30,31,300.087
31,32,300.073
32,33,300.061
33,34,300.089
34,35,300.07
35,36,300.086
36,37,304.461
37,38,300.091
38,39,300.095
39,40,300.011
